name,weight,Energy,Protein,Fat,Carbohydrate,Total Dietary,Calcium,Iron,Sodium,Retinol,β-Carotene,Vitamin A,Vitamin B1 (Thiamine),Vitamin B2 (Rivoflavin),Vitamin C,Vitamin D,Linoleic Acid,Alpha-Linolenic Acid,snack,rice,special,soup,kimchi,side_dish,side_dish1,side_dish2,empty,밀,쌀,메밀,감자,대두,땅콩,들깨,참깨,씨앗,돼지,오리,닭,기타가금류,소,난류,우유,붉은살생선,흰살생선,기타,장어,멸치,게,새우,가재,"조개,꼬막",굴,"홍합,담치",오징어,문어,낙지,고둥,소라,전복,오이,마늘,샐러리,당근,브로콜리,양파,겨자,후추,토마토,체리,자두,키위,바나나,사과,배,코코넛,복숭아,메론,수박,시트러스,망고,아황산류,견과류,땅콩+견과류,other
(참깨제외)파삼겹돼지불고기,95.48,177.674,6.60905,15.092364,4.148788,0.75292,13.0802,0.602252,229.8646,7.98,388.2648,40.3354,0.225855,0.1698214,3.54123,0.2814,1481.584916,136.3033,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
해물굴소스볶음,104.16,109.0516,11.68923,3.782156,6.78986,0.68152,36.2726,0.970872,458.1094,0.07,285.4236,23.8553,0.032921,0.0934934,3.13537,1.6884,683.888996,322.577556,0,0,0,0,0,1,1,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
(참깨제외)해물굴소스볶음,103.88,106.484,11.68923,3.503304,6.789468,0.68152,36.1522,0.965972,458.0646,0.07,285.3928,23.85273333,0.032921,0.0932974,3.13537,1.6884,567.349496,321.08216,0,0,0,0,0,1,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
해물우동숙주볶음,137.62,146.9958,10.60787,4.022256,16.26688,1.39832,45.2312,1.636012,452.305,4.27,492.7608,45.3334,0.064533,0.1274014,5.51663,0.8442,807.690156,332.552556,0,0,0,0,0,1,1,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
(참깨제외)해물우동숙주볶음,137.34,144.4282,10.60787,3.743404,16.266488,1.39832,45.1108,1.631112,452.2602,4.27,492.73,45.33083334,0.064533,0.1272054,5.51663,0.8442,691.150656,331.05716,0,0,0,0,0,1,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
햄오믈렛,73.08,106.9978,8.5323,6.61052,2.53414,0.0672,32.1314,0.9072,211.6562,61.11,0.4088,61.14406667,0.106358,0.244314,4.2959,8.778,1075.71744,330.21968,0,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
훈제오리굴소스볶음,81.2,67.788,9.24658,1.3237,4.48056,0.658,9.814,1.20162,230.426,4.662,420.35,39.69116667,0.095228,0.083496,15.3881,0.546,215.41996,12.4474,0,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
훈제오리단호박볶음,91.56,71.638,9.38105,1.498364,5.355308,1.85332,11.6522,1.285452,130.8202,4.62,1437.7048,124.4287333,0.100037,0.0973434,10.64273,0.546,260.535716,33.2885,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
훈제오리볶음,73.22,57.974,9.15215,1.333164,2.070208,0.54432,9.5102,1.300572,83.8684,4.62,422.8308,39.8559,0.097237,0.0652134,15.12833,0.546,214.252416,12.3802,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
훈제오리볶음+무쌈,100.94,68.222,9.28298,1.34694,4.6088,0.889,14.294,1.2264,85.8438,4.62,420.77,39.68416667,0.10745,0.075936,17.2046,0.546,218.71388,14.77,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
