0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,allergy
콩밥,떡국떡미역국,팽이버섯나물,두부카레라이스,두부대합탕국,느타리버섯당근볶음,애호박볶음,비트초절이,율무밥,애호박두부된장국,empty,감자그라탕,나박김치,콩밥,떡국떡미역국,연어구이,돼지불고기덮밥,두부대합탕국,느타리버섯당근볶음,애호박볶음,비트초절이,율무밥,닭곰탕,참치김치볶음,콩나물무침,나박김치,"난류,밀"
보리밥,미역만두국,양념가지찜,돼지고기양배추덮밥,느타리버섯국,오이토마토샐러드(발사믹드레싱),매콤콩나물무침,나박김치,밤찹쌀팥밥,만두닭개장,empty,애호박볶음,깻잎김치,보리밥,소고기무국,양념가지찜,돼지고기잡채덮밥,느타리버섯국,오이토마토샐러드(발사믹드레싱),멸치볶음,깻잎김치,쌀밥,낙지연포탕,고등어구이,애호박볶음,배추김치,"난류,우유,대두,땅콩+견과류"
검정콩밥,실파콩나물국,감자채볶음,찹쌀밥,맑은가쓰오부시장국,양배추샐러드(레몬드레싱),참나물겉절이,열무물김치,장조림버터비빔밥,두부장국,부추달걀볶음,건새우두부조림,석박지,흑미밥,실파콩나물국,순살닭볶음탕,찹쌀밥,소고기순두부찌개,감자채볶음,참나물겉절이,열무물김치,돼지고기김치볶음밥,맑은오징어무국,도토리묵무침,청경채나물,석박지,"난류,우유,밀"
콩밥,무채양파국,닭가슴살사과무침,치킨마요덮밥,감자채맑은국,녹두전,양배추유자청무침,단무지,완두콩밥,바지락파래국,닭살카레조림,김자반,열무김치,멸치주먹밥,무채양파국,닭봉구이,쌀밥,감자채맑은국,소불고기,양배추유자청무침,배추김치,수수밥,바지락부추국,김달걀말이,건새우애호박볶음,열무김치,"우유,밀,대두,땅콩+견과류"
밤찹쌀팥밥,팥죽,팽이버섯달걀전,돼지고기카레라이스,숙주당면국,empty,마카로니채소샐러드,깍두기,고구마밥,온청포묵국,순살돼지고기김치볶음,오이볶음,열무물김치,소고기볶음밥,팽이버섯맑은국,감자조림,쌀밥,배추당면국,동태살엿장조림,브로콜리볶음,깍두기,고구마밥,조갯살미역국,순살돼지고기김치볶음,오이나물,열무물김치,"난류,우유,밀,대두,땅콩+견과류"
수수밥,김치두부찌개,채소크로켓,밤콩밥,애호박맑은국,건새우애호박볶음,empty,열무물김치,닭살카레감자밥+양념장,만두국,무말랭이,empty,오이피클,수수밥,돼지고기김치찌개,청경채나물,쌀밥,애호박맑은국,소불고기,멸치땅콩볶음,열무물김치,닭가슴살채소볶음밥,새우살미역국,무말랭이,콘샐러드(올리브유드레싱),오이피클,"난류,우유,밀,대두"
고구마밥,팥죽,마늘종볶음,찹쌀밥,만두순두부찌개,양배추콘샐러드,과일땅콩샐러드,단무지,흑미밥,감자양파국,브로콜리나물,empty,열무김치,고구마밥,조갯살부추국,(우유제외)스크램블에그,찹쌀밥,만두국,양배추콘샐러드,두부조림,단무지,흑미밥,감자양파국,브로콜리나물,돈까스,열무김치,"우유,땅콩+견과류"
옥수수밥,토마토감자국,해물완자전,소고기주먹밥,유부장국,브로콜리견과류볶음,감자버터구이,비트초절이,완두콩밥,감자국,돼지고기구이,얼갈이나물,단무지,옥수수밥,맑은짬뽕국,닭살깻잎조림,소고기주먹밥,두부맑은국,브로콜리볶음,콘샐러드(올리브유드레싱),비트초절이,완두콩밥,감자국,돼지고기구이,얼갈이나물,단무지무침,"난류,우유,밀,땅콩+견과류"
찹쌀밥,만두국,애호박새우젓볶음,두부카레라이스,콩가루쑥국,empty,옥수수치즈전,총각김치,팥밥,만두순두부찌개,아욱건새우전,empty,단무지,찹쌀밥,소갈비탕,애호박새우젓볶음,흑미밥,콩가루쑥국,훈제오리채소볶음,부추나물,총각김치,팥밥,(달걀제외)순두부백탕,고등어구이,감자볶음,단무지무침,"난류,우유"
밤찹쌀팥밥,감자탕,메추리알고구마조림,가지채소볶음밥,감자국,열무볶음,해물김치전,열무물김치,밤콩밥,콩가루열무된장국,닭살양배추볶음,미나리초무침,파김치,찹쌀밥,감자탕,브로콜리두부무침,가지채소볶음밥,새송이버섯된장국,돼지불고기,시금치나물,열무물김치,밤콩밥,콩가루무채국,닭살양배추볶음,미나리초무침,배추김치,"난류,땅콩+견과류"
